date,gross_ret,net_ret,tcost,borrow,gross_exp,net_exp,n_pos
2001-08-01,0.000000,-0.003306,0.003306,0.000000,2.0069,-0.0001,381
2001-08-02,0.003300,0.003280,0.000000,0.000020,2.0009,0.0055,379
2001-08-03,0.001056,0.001037,0.000000,0.000020,1.9877,0.0065,379
2001-08-06,0.000265,0.000246,0.000000,0.000020,1.9643,0.0068,379
2001-08-07,-0.000755,-0.000775,0.000000,0.000019,1.9659,0.0061,379
2001-08-08,0.003668,0.003649,0.000000,0.000019,1.9295,0.0097,379
2001-08-09,0.001601,0.001582,0.000000,0.000019,1.9245,0.0113,379
2001-08-10,0.000092,0.000073,0.000000,0.000019,1.9301,0.0114,379
2001-08-13,0.000895,0.000876,0.000000,0.000019,1.9377,0.0122,379
2001-08-14,-0.000502,-0.000521,0.000000,0.000019,1.9399,0.0117,379
2001-08-15,-0.000478,-0.000497,0.000000,0.000019,1.9315,0.0113,379
2001-08-16,0.003023,0.003004,0.000000,0.000019,1.9296,0.0143,379
2001-08-17,-0.003689,-0.003708,0.000000,0.000019,1.9149,0.0106,379
2001-08-20,0.009145,0.009126,0.000000,0.000019,1.9024,0.0196,379
2001-08-21,-0.005738,-0.005757,0.000000,0.000019,1.9016,0.0139,379
2001-08-22,0.006593,0.006574,0.000000,0.000019,1.9015,0.0204,379
2001-08-23,-0.001779,-0.001798,0.000000,0.000019,1.9000,0.0186,379
2001-08-24,0.003720,0.003702,0.000000,0.000019,1.9187,0.0223,379
2001-08-27,-0.000080,-0.000099,0.000000,0.000019,1.9164,0.0222,379
2001-08-28,-0.002922,-0.002941,0.000000,0.000019,1.8992,0.0193,379
2001-08-29,-0.002711,-0.002729,0.000000,0.000019,1.8940,0.0167,379
2001-08-30,-0.000140,-0.000159,0.000000,0.000019,1.8698,0.0165,379
2001-08-31,-0.000816,-0.000835,0.000000,0.000018,1.8781,0.0157,379
2001-09-04,0.002039,0.001564,0.000456,0.000018,1.9869,0.0000,377
2001-09-05,0.002669,0.002649,0.000000,0.000020,1.9664,0.0027,377
2001-09-06,-0.005316,-0.005336,0.000000,0.000019,1.9461,-0.0027,377
2001-09-07,-0.000278,-0.000297,0.000000,0.000019,1.9136,-0.0029,377
2001-09-10,0.000324,0.000305,0.000000,0.000019,1.9028,-0.0050,376
2001-09-17,-0.001703,-0.001722,0.000000,0.000019,1.8010,-0.0067,376
2001-09-18,0.005558,0.005540,0.000000,0.000018,1.7670,-0.0011,376
2001-09-19,-0.002790,-0.003198,0.000391,0.000018,1.9405,0.0005,383
2001-09-20,0.004428,0.004408,0.000000,0.000019,1.8667,0.0049,383
2001-09-21,0.002434,0.002416,0.000000,0.000018,1.8284,0.0073,383
2001-09-24,0.001296,0.001278,0.000000,0.000018,1.8917,0.0086,383
2001-09-25,-0.001147,-0.001165,0.000000,0.000019,1.9003,0.0075,383
2001-09-26,0.005743,0.005725,0.000000,0.000019,1.8602,0.0131,383
2001-09-27,-0.001541,-0.001559,0.000000,0.000018,1.8819,0.0116,383
2001-09-28,-0.002351,-0.002369,0.000000,0.000019,1.9348,0.0093,383
2001-10-01,-0.004509,-0.004849,0.000321,0.000019,1.9971,-0.0009,400
2001-10-02,0.000797,0.000777,0.000000,0.000020,2.0184,0.0056,399
2001-10-03,0.007370,0.007350,0.000000,0.000020,2.0637,0.0095,398
2001-10-04,-0.002409,-0.002429,0.000000,0.000020,2.0740,0.0071,398
2001-10-05,0.002928,0.002907,0.000000,0.000021,2.0643,0.0100,398
2001-10-08,0.001524,0.001503,0.000000,0.000020,2.0455,0.0115,398
2001-10-09,-0.001087,-0.001107,0.000000,0.000020,2.0383,0.0104,398
2001-10-10,0.001814,0.001794,0.000000,0.000020,2.0934,0.0122,398
2001-10-11,0.002446,0.002425,0.000000,0.000021,2.1373,0.0146,398
2001-10-12,0.002676,0.002655,0.000000,0.000021,2.1112,0.0172,398
2001-10-15,-0.005978,-0.005999,0.000000,0.000021,2.1166,0.0113,398
2001-10-16,-0.002576,-0.002597,0.000000,0.000021,2.1453,0.0088,398
2001-10-17,0.000562,0.000541,0.000000,0.000021,2.0972,0.0093,398
2001-10-18,0.000702,0.000681,0.000000,0.000021,2.0724,0.0100,398
2001-10-19,0.000328,0.000308,0.000000,0.000020,2.0883,0.0103,398
2001-10-22,0.002522,0.002501,0.000000,0.000021,2.1120,0.0128,398
